factor,file,n_total,n_current,n_requests,n_accepted,n_rejected,acceptance_rate,total_D_Arr,total_D_Dep,obj_rej,obj_arr,obj_dep,obj_eps,objective
0.0,solution_arr_0p0.csv,28,3,25,20,5,0.8,387.3000000000043,329.30000000000155,3229.0,0.0,2428.900000000009,1.4538320000000002,5659.353832000009
0.01,solution_arr_0p01.csv,28,3,25,20,5,0.8,387.3,329.29999999999995,3229.0,31.964,2428.899999999999,1.4538320000000002,5691.317832
0.1,solution_arr_0p1.csv,28,3,25,19,6,0.76,273.2,241.49999999999997,4040.0,211.07000000000002,1680.6999999999996,1.52854,5933.29854
0.25,solution_arr_0p25.csv,28,3,25,19,6,0.76,273.2,241.49999999999997,4040.0,527.6750000000001,1680.6999999999996,1.52854,6249.90354
0.5,solution_arr_0p5.csv,28,3,25,19,6,0.76,261.4,243.19999999999996,4040.0,1010.3000000000001,1709.0999999999995,1.55454,6760.95454
0.75,solution_arr_0p75.csv,28,3,25,18,7,0.72,190.8,193.0,4924.0,969.5999999999999,1303.0999999999997,1.4668319999999995,7198.166832
1.0,solution_arr_1p0.csv,28,3,25,17,8,0.68,131.6,153.8,5279.0,1056.0,1146.3,1.3761240000000001,7482.6761240000005
1.25,solution_arr_1p25.csv,28,3,25,16,9,0.64,86.1,130.8,5877.0,929.75,873.1999999999999,0.9911239999999557,7680.941124
1.5,solution_arr_1p5.csv,28,3,25,15,10,0.6,52.8,113.19999999999999,6592.0,558.3,680.3999999999999,0.8941240000000001,7831.594124
1.75,solution_arr_1p75.csv,28,3,25,15,10,0.6,52.8,113.19999999999999,6592.0,651.3499999999999,680.3999999999999,0.8941240000000001,7924.644124
2.0,solution_arr_2p0.csv,28,3,25,15,10,0.6,14.899999999999999,118.19999999999999,7116.0,149.4,734.6999999999999,0.856972999999998,8000.956972999999
2.25,solution_arr_2p25.csv,28,3,25,15,10,0.6,14.899999999999999,118.19999999999999,7116.0,168.075,734.6999999999999,0.8569729999999967,8019.631973
2.5,solution_arr_2p5.csv,28,3,25,15,10,0.6,14.899999999999999,118.19999999999999,7116.0,186.75,734.6999999999999,0.856973,8038.306973
2.75,solution_arr_2p75.csv,28,3,25,15,10,0.6,14.899999999999999,118.19999999999999,7116.0,205.425,734.6999999999999,0.856973,8056.981973
3.0,solution_arr_3p0.csv,28,3,25,15,10,0.6,14.899999999999999,118.19999999999999,7116.0,224.1,734.6999999999999,0.856973,8075.656973
