factor,file,n_total,n_current,n_requests,n_accepted,n_rejected,acceptance_rate,total_D_Arr,total_D_Dep,obj_rej,obj_arr,obj_dep,obj_eps,objective
0.0,solution_dep_0p0.csv,28,3,25,19,6,0.76,256.49999999999994,180765.96,4040.0,2006.2,0.0,1.5465399999999996,6047.74654
0.01,solution_dep_0p01.csv,28,3,25,19,6,0.76,256.49999999999994,316.9,4040.0,2006.2,22.705999999999996,1.5465399999999998,6070.45254
0.1,solution_dep_0p1.csv,28,3,25,19,6,0.76,261.40000000000236,243.20000000000073,4040.0,2020.5999999999967,170.91000000000037,1.55454,6233.064539999998
0.25,solution_dep_0p25.csv,28,3,25,19,6,0.76,261.4,243.19999999999996,4040.0,2020.6000000000001,427.27499999999986,1.5545399999999994,6489.42954
0.5,solution_dep_0p5.csv,28,3,25,18,7,0.72,190.8,193.0,4924.0,1292.8000000000002,651.5499999999998,1.466832,6869.816832
0.75,solution_dep_0p75.csv,28,3,25,18,7,0.72,190.8,193.0,4924.0,1292.8000000000002,977.325,1.4668320000000001,7195.591832
1.0,solution_dep_1p0.csv,28,3,25,17,8,0.68,131.6,153.8,5279.0,1056.0,1146.3,1.3761240000000001,7482.6761240000005
1.25,solution_dep_1p25.csv,28,3,25,16,9,0.64,86.1,130.8,5877.0,743.8000000000001,1091.5,0.9911239999999967,7713.291124
1.5,solution_dep_1p5.csv,28,3,25,16,9,0.64,86.1,130.8,5877.0,743.8000000000001,1309.8,0.9911240000000001,7931.5911240000005
1.75,solution_dep_1p75.csv,28,3,25,16,9,0.64,86.1,130.8,5877.0,743.8000000000001,1528.1,0.991123999999998,8149.891124
2.0,solution_dep_2p0.csv,28,3,25,15,10,0.6,52.8,113.19999999999999,6592.0,372.2,1360.7999999999997,0.8941239999999997,8325.894124
2.25,solution_dep_2p25.csv,28,3,25,15,10,0.6,52.8,113.19999999999999,6592.0,372.2,1530.8999999999999,0.8941240000000001,8495.994124
2.5,solution_dep_2p5.csv,28,3,25,15,10,0.6,52.8,113.19999999999999,6592.0,372.2,1701.0,0.8941240000000001,8666.094124000001
2.75,solution_dep_2p75.csv,28,3,25,15,10,0.6,52.8,113.19999999999999,6592.0,372.2,1871.1,0.8941239999999806,8836.194124
3.0,solution_dep_3p0.csv,28,3,25,15,10,0.6,52.8,113.19999999999999,6592.0,372.2,2041.2,0.8941240000000001,9006.294124
