f,M_ID,ETA,ETD,ServT,P_Rej,P_Arr,P_Dep
a05,26,1071,1155,69,511,6,8
a06,10,612,758,138,426,7,8
a07,25,891,1099,186,1166,36,21
a08,14,1430,1688,238,418,4,6
a09,5,577,774,177,276,4,6
a10,13,1371,1630,238,353,7,5
a11,27,1382,1602,205,576,10,9
a12,11,1256,1451,187,444,4,5
a13,16,1136,1252,108,791,23,23
a14,21,1248,1390,133,560,7,9
a15,42,202,411,191,681,12,12
a16,29,751,910,151,605,8,8
a17,12,402,567,154,326,6,4
a18,9,871,1025,136,402,6,4
a19,31,262,544,259,1007,20,30
a20,33,253,412,147,1156,34,32
a21,44,207,356,138,1325,38,31
a22,51,103,374,261,1057,10,10
a23,3,821,1014,170,748,19,17
a24,20,1415,1567,142,732,10,10
a25,24,1045,1311,245,984,30,17
a26,38,1300,1423,104,897,10,11
a27,48,546,753,199,745,14,15
a28,28,98,350,240,925,33,17
a29,43,1139,1357,198,739,9,16
a30,4,565,640,65,342,5,3
a31,39,154,273,111,686,12,15
a32,34,920,959,20,644,10,7
a33,23,470,639,150,444,10,11
a34,40,574,791,197,1493,31,39
a35,16,1077,1193,108,737,15,16
a36,46,876,940,54,660,15,9
a37,36,656,805,127,956,11,13
a38,17,1150,1303,136,957,26,31
a39,30,487,743,244,495,9,10
a40,2,1099,1283,161,326,4,3
