Aircraft,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,0.0,0.0,0.0,0.0,70.143,27.241,240.0,258.0,240.0,0.0,0.0,0.0,0.0,9.0,150,100,2026-01-01 00:00
a02,1,0.0,0.0,0.0,0.0,5.806,40.476,177.0,192.0,177.0,0.0,0.0,0.0,0.0,17.0,150,100,2026-01-01 00:00
a03,1,0.0,0.0,0.0,0.0,32.959,6.315,4.0,22.0,4.0,0.0,0.0,0.0,0.0,5.0,150,100,2026-01-01 00:00
a04,1,0.0,0.0,0.0,0.0,43.715,47.384,54.0,71.0,54.0,0.0,0.0,0.0,0.0,5.0,150,100,2026-01-01 00:00
a05,1,0.0,0.0,1071.0,1071.0,20.0,5.0,69.0,1155.0,1140.0,0.0,0.0,5.11,6.0,8.0,150,100,2026-01-01 00:00
a06,1,0.0,0.0,612.0,612.0,5.0,15.0,138.0,758.0,750.0,0.0,0.0,4.26,7.0,8.0,150,100,2026-01-01 00:00
a07,1,0.0,0.0,891.0,891.0,10.0,5.0,186.0,1099.0,1077.0999999999985,0.0,0.0,11.66,36.0,21.0,150,100,2026-01-01 00:00
a08,1,0.0,0.0,1430.0,1430.0,5.0,5.0,238.0,1688.0,1668.0,0.0,0.0,4.18,4.0,6.0,150,100,2026-01-01 00:00
a09,1,0.0,0.0,577.0,577.0,5.0,10.0,177.0,774.0,754.0,0.0,0.0,2.7600000000000002,4.0,6.0,150,100,2026-01-01 00:00
a10,1,0.0,0.0,1371.0,1371.0,10.0,5.0,238.0,1630.0,1609.0,0.0,0.0,3.5300000000000002,7.0,5.0,150,100,2026-01-01 00:00
a11,1,0.0,0.0,1382.0,1382.0,10.0,10.0,205.0,1602.0,1587.0,0.0,0.0,5.76,10.0,9.0,150,100,2026-01-01 00:00
a12,1,0.0,0.0,1256.0,1256.0,20.0,5.0,187.0,1451.0,1443.0,0.0,0.0,4.44,4.0,5.0,150,100,2026-01-01 00:00
a13,1,0.0,0.0,1136.0,1136.0,5.0,15.0,108.0,1252.0,1244.0,0.0,0.0,7.91,23.0,23.0,150,100,2026-01-01 00:00
a14,1,0.0,0.0,1248.0,1248.0,15.0,5.0,133.0,1390.0,1381.0,0.0,0.0,5.6000000000000005,7.0,9.0,150,100,2026-01-01 00:00
a15,1,0.0,0.0,202.0,202.0,5.0,5.0,191.0,411.0,400.10000000000036,0.0,0.0,6.8100000000000005,12.0,12.0,150,100,2026-01-01 00:00
a16,1,0.0,0.0,751.0,751.0,15.0,5.0,151.0,910.0,902.0,0.0,0.0,6.05,8.0,8.0,150,100,2026-01-01 00:00
a17,1,0.0,0.0,402.0,402.0,5.0,5.0,154.0,567.0,556.0,0.0,0.0,3.2600000000000002,6.0,4.0,150,100,2026-01-01 00:00
a18,1,0.0,0.0,871.0,871.0,5.0,10.0,136.0,1025.0,1007.0,0.0,0.0,4.0200000000000005,6.0,4.0,150,100,2026-01-01 00:00
a19,1,0.0,0.0,262.0,262.0,20.80600000000001,5.0,259.0,544.0,521.0,0.0,0.0,10.07,20.0,30.0,150,100,2026-01-01 00:00
a20,1,0.0,0.0,253.0,253.0,5.0,10.0,147.0,412.0,400.0,0.0,0.0,11.56,34.0,32.0,150,100,2026-01-01 00:00
a21,1,0.0,0.0,207.0,207.0,10.0,10.0,138.0,356.0,345.0,0.0,0.0,13.25,38.0,31.0,150,100,2026-01-01 00:00
a22,1,0.0,0.0,103.0,103.0,10.806000000000012,5.0,261.0,374.0,364.0,0.0,0.0,10.57,10.0,10.0,150,100,2026-01-01 00:00
