Aircraft,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,0.0,0.0,0.0,0.0,70.143,27.241,240.0,258.0,252.89999999999603,0.0,0.0,0.0,0.0,9.0,150,100,2026-01-01 00:00
a02,1,0.0,0.0,0.0,0.0,5.806,40.476,177.0,192.0,177.0,0.0,0.0,0.0,0.0,17.0,150,100,2026-01-01 00:00
a03,1,0.0,0.0,0.0,0.0,32.959,6.315,4.0,22.0,4.0,0.0,0.0,0.0,0.0,5.0,150,100,2026-01-01 00:00
a04,1,0.0,0.0,0.0,0.0,43.715,47.384,54.0,71.0,54.0,0.0,0.0,0.0,0.0,5.0,150,100,2026-01-01 00:00
a05,1,0.0,0.0,1071.0,1071.0,10.000001761619572,5.0,69.0,1155.0,1140.0,0.0,0.0,2044.0,6.0,8.0,150,100,2026-01-01 00:00
a06,1,0.0,0.0,612.0,612.0,5.0,15.0,138.0,758.0,750.0,0.0,0.0,1704.0,7.0,8.0,150,100,2026-01-01 00:00
a07,1,0.0,0.0,891.0,891.0,15.000001761619572,5.0,186.0,1099.0,1077.2205481532897,0.0,0.0,4664.0,36.0,21.0,150,100,2026-01-01 00:00
a08,1,0.0,0.0,1430.0,1430.0,5.0,5.0,238.0,1688.0,1668.0,0.0,0.0,1672.0,4.0,6.0,150,100,2026-01-01 00:00
a09,1,0.0,0.0,577.0,577.0,5.0,10.0,177.0,774.0,754.0,0.0,0.0,1104.0,4.0,6.0,150,100,2026-01-01 00:00
a10,1,0.0,0.0,1371.0,1371.0,19.999800220285582,5.0,238.0,1630.0,1609.0,0.0,0.0,1412.0,7.0,5.0,150,100,2026-01-01 00:00
a11,1,0.0,0.0,1382.0,1382.0,9.999978180628817,5.0,205.0,1602.0,1602.0,0.0,0.0,2304.0,10.0,9.0,150,100,2026-01-01 00:00
a12,1,0.0,0.0,1256.0,1256.0,14.999997259905745,5.0,187.0,1451.0,1443.0,0.0,0.0,1776.0,4.0,5.0,150,100,2026-01-01 00:00
a13,1,0.0,0.0,1136.0,1136.0,14.99993945416898,5.0,108.0,1252.0,1247.8999999999996,0.0,0.0,3164.0,23.0,23.0,150,100,2026-01-01 00:00
a14,1,0.0,0.0,1248.0,1248.0,9.999920212626531,5.0,133.0,1390.0,1381.8999999999996,0.0,0.0,2240.0,7.0,9.0,150,100,2026-01-01 00:00
a15,1,0.0,0.0,202.0,201.99999999999756,5.0,5.0,191.0,411.0,400.10000000000014,0.0,0.0,2724.0,12.0,12.0,150,100,2026-01-01 00:00
a16,1,0.0,0.0,751.0,751.0,10.0,5.0,151.0,910.0,910.0,0.0,0.0,2420.0,8.0,8.0,150,100,2026-01-01 00:00
a17,1,0.0,0.0,402.0,402.0,5.0,5.0,154.0,567.0,564.8999999999996,0.0,0.0,1304.0,6.0,4.0,150,100,2026-01-01 00:00
a18,1,0.0,0.0,871.0,871.0,5.0,10.0,136.0,1025.0,1007.0,0.0,0.0,1608.0,6.0,4.0,150,100,2026-01-01 00:00
a19,1,0.0,0.0,262.0,261.9999999999968,20.805999999999845,5.0,259.0,544.0,521.0,0.0,0.0,4028.0,20.0,30.0,150,100,2026-01-01 00:00
a20,1,0.0,0.0,253.0,252.9999999999964,5.0,10.0,147.0,412.0,400.0,-3.3470280437069022e-12,0.0,4624.0,34.0,32.0,150,100,2026-01-01 00:00
a21,1,0.0,0.0,207.0,206.9999999999965,10.0,10.0,138.0,356.0,344.99999999999693,0.0,0.0,5300.0,38.0,31.0,150,100,2026-01-01 00:00
a22,1,0.0,0.0,103.0,102.99999999999758,15.805999999999878,5.0,261.0,374.0,364.0,0.0,0.0,4228.0,10.0,10.0,150,100,2026-01-01 00:00
a23,1,0.0,0.0,821.0,821.0,5.0,5.0,170.0,1014.0,1007.1000000045792,0.0,0.0,2992.0,19.0,17.0,150,100,2026-01-01 00:00
a24,1,0.0,0.0,1415.0,1415.0,9.999973443341965,10.0,142.0,1567.0,1567.0,0.0,0.0,2928.0,10.0,10.0,150,100,2026-01-01 00:00
a25,1,0.0,0.0,1045.0,1045.0,5.0,5.0,245.0,1311.0,1299.8999999999996,0.0,0.0,3936.0,30.0,17.0,150,100,2026-01-01 00:00
a26,1,0.0,0.0,1300.0,1300.0,5.0,5.0,104.0,1423.0,1414.8999999999996,0.0,0.0,3588.0,10.0,11.0,150,100,2026-01-01 00:00
a27,1,0.0,0.0,546.0,546.0,15.0,5.0,199.0,753.0,749.9,0.0,0.0,2980.0,14.0,15.0,150,100,2026-01-01 00:00
a28,1,0.0,0.0,98.0,97.9999999999965,10.806000000000012,5.0,240.0,350.0,345.1000000015657,0.0,0.0,3700.0,33.0,17.0,150,100,2026-01-01 00:00
a29,1,0.0,0.0,1139.0,1139.0,19.999997259905744,5.0,198.0,1357.0,1337.0,0.0,0.0,2956.0,9.0,16.0,150,100,2026-01-01 00:00
a30,1,0.0,0.0,565.0,565.0,10.000000000000005,10.0,65.0,640.0,630.0,0.0,0.0,1368.0,5.0,3.0,150,100,2026-01-01 00:00
