VarName,Value
X[a01],70.143
X[a02],5.806
X[a03],32.959
X[a04],43.715
X[a05],10.000001761619572
X[a06],5.0
X[a07],15.000001761619572
X[a08],5.0
X[a09],5.0
X[a10],19.999800220285582
X[a11],9.999978180628817
X[a12],14.999997259905745
X[a13],14.99993945416898
X[a14],9.999920212626531
X[a15],5.0
X[a16],10.0
X[a17],5.0
X[a18],5.0
X[a19],20.805999999999845
X[a20],5.0
X[a21],10.0
X[a22],15.805999999999878
X[a23],5.0
X[a24],9.999973443341965
X[a25],5.0
X[a26],5.0
X[a27],15.0
X[a28],10.806000000000012
X[a29],19.999997259905744
X[a30],10.000000000000005
X[a31],15.0
X[a32],10.0
X[a33],10.0
X[a34],5.0
X[a35],5.0
Y[a01],27.241
Y[a02],40.476
Y[a03],6.315
Y[a04],47.384
Y[a05],5.0
Y[a06],15.0
Y[a07],5.0
Y[a08],5.0
Y[a09],10.0
Y[a10],5.0
Y[a11],5.0
Y[a12],5.0
Y[a13],5.0
Y[a14],5.0
Y[a15],5.0
Y[a16],5.0
Y[a17],5.0
Y[a18],10.0
Y[a19],5.0
Y[a20],10.0
Y[a21],10.0
Y[a22],5.0
Y[a23],5.0
Y[a24],10.0
Y[a25],5.0
Y[a26],5.0
Y[a27],5.0
Y[a28],5.0
Y[a29],5.0
Y[a30],10.0
Y[a31],10.0
Y[a32],5.0
Y[a33],5.0
Y[a34],5.0
Y[a35],10.0
Roll_in[a01],0.0
Roll_in[a02],0.0
Roll_in[a03],0.0
Roll_in[a04],0.0
Roll_in[a05],1071.0
Roll_in[a06],612.0
Roll_in[a07],891.0
Roll_in[a08],1430.0
Roll_in[a09],577.0
Roll_in[a10],1371.0
Roll_in[a11],1382.0
Roll_in[a12],1256.0
Roll_in[a13],1136.0
Roll_in[a14],1248.0
Roll_in[a15],201.99999999999756
Roll_in[a16],751.0
Roll_in[a17],402.0
Roll_in[a18],871.0
Roll_in[a19],261.9999999999968
Roll_in[a20],252.9999999999964
Roll_in[a21],206.9999999999965
Roll_in[a22],102.99999999999758
Roll_in[a23],821.0
Roll_in[a24],1415.0
Roll_in[a25],1045.0
Roll_in[a26],1300.0
Roll_in[a27],546.0
Roll_in[a28],97.9999999999965
Roll_in[a29],1139.0
Roll_in[a30],565.0
Roll_in[a31],153.99999999999588
Roll_in[a32],920.0
Roll_in[a33],470.0
Roll_in[a34],574.0
Roll_in[a35],1077.0
Roll_out[a01],252.89999999999603
Roll_out[a02],177.0
Roll_out[a03],4.0
Roll_out[a04],54.0
Roll_out[a05],1140.0
Roll_out[a06],750.0
Roll_out[a07],1077.2205481532897
Roll_out[a08],1668.0
Roll_out[a09],754.0
Roll_out[a10],1609.0
Roll_out[a11],1602.0
Roll_out[a12],1443.0
Roll_out[a13],1247.8999999999996
Roll_out[a14],1381.8999999999996
Roll_out[a15],400.10000000000014
Roll_out[a16],910.0
Roll_out[a17],564.8999999999996
Roll_out[a18],1007.0
Roll_out[a19],521.0
Roll_out[a20],400.0
Roll_out[a21],344.99999999999693
Roll_out[a22],364.0
Roll_out[a23],1007.1000000045792
Roll_out[a24],1567.0
Roll_out[a25],1299.8999999999996
Roll_out[a26],1414.8999999999996
Roll_out[a27],749.9
Roll_out[a28],345.1000000015657
Roll_out[a29],1337.0
Roll_out[a30],630.0
Roll_out[a31],273.0
Roll_out[a32],940.0
Roll_out[a33],630.1000000028648
Roll_out[a34],774.4013704133646
Roll_out[a35],1193.0
D_Arr[a05],0.0
D_Arr[a06],0.0
D_Arr[a07],0.0
D_Arr[a08],0.0
D_Arr[a09],0.0
D_Arr[a10],0.0
D_Arr[a11],0.0
D_Arr[a12],0.0
