Aircraft,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate,Hangar_Space_Usage
a01,1,56.0,61.0,0.0,0.0,55.265,30.891,89.0,104.0,89.0,0.0,0.0,0.0,0.0,42.0,150,100,2026-01-01 00:00,0.31309437585733885
a02,1,37.0,39.0,0.0,0.0,6.708,51.457,131.0,144.0,131.0,0.0,0.0,0.0,0.0,6.0,150,100,2026-01-01 00:00,0.31309437585733885
a03,1,27.0,31.0,0.0,0.0,13.499,6.584,10.0,18.0,134.0,0.0,116.0,0.0,0.0,6.0,150,100,2026-01-01 00:00,0.31309437585733885
a04,1,27.0,27.0,205.0,205.0,103.0,59.0,233.0,448.0,438.0,0.0,0.0,675.0,14.0,18.0,150,100,2026-01-01 00:00,0.31309437585733885
a05,0,53.0,55.0,20.0,0.0,0.0,0.0,46.0,82.0,0.0,0.0,0.0,552.0,7.0,10.0,150,100,2026-01-01 00:00,0.31309437585733885
a06,0,34.0,32.0,32.0,0.0,0.0,0.0,237.0,277.0,0.0,0.0,0.0,443.0,4.0,5.0,150,100,2026-01-01 00:00,0.31309437585733885
a07,0,29.0,31.0,30.0,0.0,0.0,0.0,58.0,108.0,0.0,0.0,0.0,355.0,4.0,4.0,150,100,2026-01-01 00:00,0.31309437585733885
a08,1,30.0,30.0,273.0,273.0,60.0,33.0,14.0,298.0,287.0,0.0,0.0,316.0,6.0,3.0,150,100,2026-01-01 00:00,0.31309437585733885
a09,0,65.0,60.0,240.0,0.0,0.0,0.0,167.0,429.0,0.0,0.0,0.0,720.0,11.0,10.0,150,100,2026-01-01 00:00,0.31309437585733885
a10,1,60.0,73.0,195.0,195.0,5.0,5.0,24.0,240.0,219.0,0.0,0.0,1804.0,49.0,42.0,150,100,2026-01-01 00:00,0.31309437585733885
a11,1,43.0,42.0,180.0,180.0,96.70799999999859,5.0,15.0,211.0,198.0,0.0,0.0,964.0,25.0,27.0,150,100,2026-01-01 00:00,0.31309437585733885
a12,1,49.0,58.0,186.0,222.0,5.0,5.0,39.0,239.0,261.0,36.0,22.0,715.0,12.0,12.0,150,100,2026-01-01 00:00,0.31309437585733885
a13,1,50.0,66.0,268.0,268.0,5.0,5.0,61.0,346.0,329.0,0.0,0.0,953.0,8.0,14.0,150,100,2026-01-01 00:00,0.31309437585733885
a14,0,66.0,67.0,140.0,0.0,0.0,0.0,169.0,328.0,0.0,0.0,0.0,826.0,13.0,12.0,150,100,2026-01-01 00:00,0.31309437585733885
a15,0,75.0,70.0,35.0,0.0,0.0,0.0,12.0,61.0,0.0,0.0,0.0,811.0,10.0,11.0,150,100,2026-01-01 00:00,0.31309437585733885
a16,1,25.0,23.0,209.0,209.0,70.0,5.0,277.0,504.0,486.0,0.0,0.0,599.0,12.0,17.0,150,100,2026-01-01 00:00,0.31309437585733885
a17,0,65.0,68.0,10.0,0.0,0.0,0.0,18.0,44.0,0.0,0.0,0.0,688.0,11.0,10.0,150,100,2026-01-01 00:00,0.31309437585733885
a18,1,36.0,37.0,297.0,297.0,60.0,33.0,53.0,361.0,361.0,0.0,0.0,552.0,8.0,7.0,150,100,2026-01-01 00:00,0.31309437585733885
a19,1,21.0,23.0,209.0,225.0,5.0,68.0,27.0,251.0,252.0,16.0,1.0,271.0,3.0,3.0,150,100,2026-01-01 00:00,0.31309437585733885
a20,1,18.0,22.0,207.0,212.0,70.0,33.0,49.0,276.0,264.0,5.0,0.0,346.0,3.0,4.0,150,100,2026-01-01 00:00,0.31309437585733885
a21,1,43.0,40.0,124.0,124.0,48.7079999999986,5.0,67.0,200.0,191.0,0.0,0.0,570.0,7.0,6.0,150,100,2026-01-01 00:00,0.31309437585733885
a22,1,55.0,52.0,90.0,92.0,48.708,5.0,11.0,117.0,117.0,2.0,0.0,745.0,10.0,7.0,150,100,2026-01-01 00:00,0.31309437585733885
a23,1,42.0,49.0,180.0,201.0,101.0,5.0,239.0,433.0,441.0,21.0,8.0,598.0,7.0,11.0,150,100,2026-01-01 00:00,0.31309437585733885
a24,0,60.0,61.0,39.0,0.0,0.0,0.0,28.0,80.0,0.0,0.0,0.0,884.0,10.0,8.0,150,100,2026-01-01 00:00,0.31309437585733885
a25,1,26.0,24.0,84.0,84.0,116.265,5.0,58.0,151.0,151.0,0.0,0.0,290.0,4.0,5.0,150,100,2026-01-01 00:00,0.31309437585733885
a26,1,28.0,29.0,199.0,215.0,70.0,60.0,12.0,229.0,228.0,16.0,0.0,332.0,5.0,4.0,150,100,2026-01-01 00:00,0.31309437585733885
a27,0,68.0,76.0,189.0,0.0,0.0,0.0,26.0,232.0,0.0,0.0,0.0,1122.0,18.0,17.0,150,100,2026-01-01 00:00,0.31309437585733885
a28,1,24.0,30.0,323.0,332.0,5.0,5.0,47.0,378.0,379.0,9.0,1.0,289.0,4.0,4.0,150,100,2026-01-01 00:00,0.31309437585733885
