Aircraft,Accepted,Width,Length,ETA,Roll_In,X,Y,ServT,ETD,Roll_Out,D_Arr,D_Dep,Penalty_Reject,Penalty_ArrivalDelay,Penalty_DepartureDelay,Hangar_Width,Hangar_Length,StartDate
a01,1,48.0,53.0,0.0,0.0,70.143,27.241,240.0,258.0,250.1,0.0,0.0,0.0,0.0,9.0,150,100,2026-01-01 00:00
a02,1,26.0,32.0,0.0,0.0,5.806,40.476,177.0,192.0,177.0,0.0,0.0,0.0,0.0,17.0,150,100,2026-01-01 00:00
a03,1,24.0,28.0,0.0,0.0,39.368,22.112,4.0,22.0,4.0,0.0,0.0,0.0,0.0,5.0,150,100,2026-01-01 00:00
a04,0,52.0,63.0,44.0,0.0,0.0,0.0,72.0,132.0,0.0,0.0,0.0,1633.0,33.0,39.0,150,100,2026-01-01 00:00
a05,1,21.0,24.0,80.0,80.0,123.143,5.0,170.0,260.0,250.0,0.0,0.0,233.0,5.0,5.0,150,100,2026-01-01 00:00
a06,0,40.0,41.0,71.0,0.0,0.0,0.0,275.0,355.0,0.0,0.0,0.0,535.0,6.0,9.0,150,100,2026-01-01 00:00
a07,0,68.0,68.0,34.0,0.0,0.0,0.0,234.0,280.0,0.0,0.0,0.0,1569.0,38.0,32.0,150,100,2026-01-01 00:00
a08,0,37.0,45.0,26.0,0.0,0.0,0.0,214.0,262.0,0.0,0.0,0.0,622.0,9.0,5.0,150,100,2026-01-01 00:00
a09,0,30.0,34.0,51.0,0.0,0.0,0.0,103.0,165.0,0.0,0.0,0.0,747.0,25.0,14.0,150,100,2026-01-01 00:00
a10,0,31.0,29.0,12.0,0.0,0.0,0.0,167.0,193.0,0.0,0.0,0.0,283.0,6.0,5.0,150,100,2026-01-01 00:00
a11,0,66.0,70.0,133.0,0.0,0.0,0.0,35.0,187.0,0.0,0.0,0.0,964.0,16.0,14.0,150,100,2026-01-01 00:00
a12,0,30.0,37.0,128.0,0.0,0.0,0.0,128.0,267.0,0.0,0.0,0.0,540.0,8.0,6.0,150,100,2026-01-01 00:00
a13,1,24.0,29.0,50.0,50.0,36.806,5.0,241.0,310.0,291.0,0.0,0.0,446.0,6.0,4.0,150,100,2026-01-01 00:00
a14,0,41.0,48.0,112.0,0.0,0.0,0.0,59.0,190.0,0.0,0.0,0.0,512.0,10.0,6.0,150,100,2026-01-01 00:00
a15,1,19.0,22.0,112.0,112.0,36.806,39.0,9.0,130.0,121.0,0.0,0.0,313.0,3.0,3.0,150,100,2026-01-01 00:00
a16,0,33.0,34.0,52.0,0.0,0.0,0.0,179.0,248.0,0.0,0.0,0.0,761.0,23.0,25.0,150,100,2026-01-01 00:00
a17,0,53.0,55.0,144.0,0.0,0.0,0.0,262.0,419.0,0.0,0.0,0.0,791.0,7.0,13.0,150,100,2026-01-01 00:00
a18,0,59.0,68.0,123.0,0.0,0.0,0.0,194.0,330.0,0.0,0.0,0.0,1001.0,10.0,16.0,150,100,2026-01-01 00:00
a19,0,65.0,73.0,146.0,0.0,0.0,0.0,155.0,324.0,0.0,0.0,0.0,708.0,10.0,16.0,150,100,2026-01-01 00:00
a20,0,30.0,32.0,128.0,0.0,0.0,0.0,274.0,421.0,0.0,0.0,0.0,419.0,5.0,6.0,150,100,2026-01-01 00:00
a21,0,38.0,35.0,143.0,0.0,0.0,0.0,119.0,278.0,0.0,0.0,0.0,438.0,6.0,6.0,150,100,2026-01-01 00:00
a22,0,65.0,61.0,159.0,0.0,0.0,0.0,16.0,191.0,0.0,0.0,0.0,683.0,12.0,13.0,150,100,2026-01-01 00:00
a23,0,63.0,64.0,160.0,0.0,0.0,0.0,123.0,301.0,0.0,0.0,0.0,1476.0,26.0,37.0,150,100,2026-01-01 00:00
a24,0,34.0,37.0,98.0,0.0,0.0,0.0,160.0,278.0,0.0,0.0,0.0,419.0,8.0,6.0,150,100,2026-01-01 00:00
a25,1,26.0,30.0,160.0,160.0,36.806,39.0,75.0,243.0,235.0,0.0,0.0,430.0,6.0,4.0,150,100,2026-01-01 00:00
a26,0,47.0,48.0,144.0,0.0,0.0,0.0,135.0,287.0,0.0,0.0,0.0,455.0,9.0,9.0,150,100,2026-01-01 00:00
a27,0,38.0,44.0,108.0,0.0,0.0,0.0,58.0,179.0,0.0,0.0,0.0,924.0,33.0,25.0,150,100,2026-01-01 00:00
a28,0,45.0,56.0,60.0,0.0,0.0,0.0,154.0,225.0,0.0,0.0,0.0,677.0,10.0,11.0,150,100,2026-01-01 00:00
